"","ID","Name","Group","Genename","nodeDegree"
"487","486","MRM1","1","mitochondrial rRNA methyltransferase 1",1
"488","487","SNRNP25","1","small nuclear ribonucleoprotein U11/U12 subunit 25",1
"489","488","ANAPC16","1","anaphase promoting complex subunit 16",3
"490","489","KIR3DL2","1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2",1
"491","490","PYCARD","1","PYD and CARD domain containing",2
"492","491","MOSPD1","1","motile sperm domain containing 1",2
"493","492","PSAT1","1","phosphoserine aminotransferase 1",1
"494","493","FCGR2A","1","Fc fragment of IgG receptor IIa",1
"495","494","FAR2","1","fatty acyl-CoA reductase 2",1
"496","495","LIAS","1","lipoic acid synthetase",1
"497","496","MIR181A1HG","1","MIR181A1 host gene",1
"498","497","ATP6V1G1","1","ATPase H+ transporting V1 subunit G1",1
"499","498","APOBEC3C","1","apolipoprotein B mRNA editing enzyme catalytic subunit 3C",2
"500","499","H2BC5","1","H2B clustered histone 5",2
"501","500","CCDC107","1","coiled-coil domain containing 107",1
"502","501","NDUFA2","1","NADH:ubiquinone oxidoreductase subunit A2",1
"503","502","IFITM2","1","interferon induced transmembrane protein 2",3
"504","503","NCEH1","1","neutral cholesterol ester hydrolase 1",3
"505","504","KLHL6","1","kelch like family member 6",1
"506","505","CCS","1","copper chaperone for superoxide dismutase",2
"507","506","C9orf24","1","chromosome 9 open reading frame 24",1
"508","507","PAQR5","1","progestin and adipoQ receptor family member 5",1
"509","508","CD53","1","CD53 molecule",1
"510","509","UBE2D4","1","ubiquitin conjugating enzyme E2 D4 (putative)",1
"511","510","ASPHD1","1","aspartate beta-hydroxylase domain containing 1",1
"512","511","TCEA3","1","transcription elongation factor A3",1
"513","512","PMP22","1","peripheral myelin protein 22",1
"514","513","TRPV6","1","transient receptor potential cation channel subfamily V member 6",1
"515","514","IRS1","1","insulin receptor substrate 1",2
"516","515","UCK1","1","uridine-cytidine kinase 1",2
"517","516","ACLY","1","ATP citrate lyase",1
"518","517","EIF4EBP2","1","eukaryotic translation initiation factor 4E binding protein 2",2
"519","518","ADA2","1","adenosine deaminase 2",2
"520","519","CPZ","1","carboxypeptidase Z",2
"521","520","MAP2K1","1","mitogen-activated protein kinase kinase 1",1
"522","521","HMCES","1","5-hydroxymethylcytosine binding, ES cell specific",1
"523","522","ZHX3","1","zinc fingers and homeoboxes 3",1
"524","523","APOF","1","apolipoprotein F",2
"525","524","MSN","1","moesin",1
"526","525","CD9","1","CD9 molecule",1
"527","526","HGFAC","1","HGF activator",1
"528","527","RAP2B","1","RAP2B, member of RAS oncogene family",1
"529","528","EVPLL","1","envoplakin like",1
"530","529","BACE2","1","beta-secretase 2",1
"531","530","IFI30","1","IFI30 lysosomal thiol reductase",1
"532","531","MYL12A","1","myosin light chain 12A",1
"533","532","LRP3","1","LDL receptor related protein 3",1
"534","533","ADRA1B","1","adrenoceptor alpha 1B",1
"535","534","ENHO","1","energy homeostasis associated",2
"536","535","SLC22A25","1","solute carrier family 22 member 25",3
"537","536","CXCL10","1","C-X-C motif chemokine ligand 10",1
"538","537","GIPC1","1","GIPC PDZ domain containing family member 1",1
"539","538","MAP2K6","1","mitogen-activated protein kinase kinase 6",1
"540","539","KIF25","1","kinesin family member 25",3
"541","540","ABCB4","1","ATP binding cassette subfamily B member 4",2
"542","541","SPON2","1","spondin 2",1
"543","542","EMILIN2","1","elastin microfibril interfacer 2",1
"544","543","HAO1","1","hydroxyacid oxidase 1",1
"545","544",NA,"1",NA,1
"546","545","ABHD1","1","abhydrolase domain containing 1",1
"547","546","NPC1","1","NPC intracellular cholesterol transporter 1",1
"548","547","TMEM14A","1","transmembrane protein 14A",1
"549","548","AKR1B15","1","aldo-keto reductase family 1 member B15",1
"550","549","PRTFDC1","1","phosphoribosyl transferase domain containing 1",1
"551","550","LPAL2","1","lipoprotein(a) like 2, pseudogene",1
"552","551","DOK1","1","docking protein 1",1
"553","552","TLR7","1","toll like receptor 7",1
"554","553","CHCHD10","1","coiled-coil-helix-coiled-coil-helix domain containing 10",1
"555","554","ILK","1","integrin linked kinase",1
"556","555","IL27RA","1","interleukin 27 receptor subunit alpha",1
"557","556","LYNX1","1","Ly6/neurotoxin 1",1
"558","557","PLA2G4C","1","phospholipase A2 group IVC",1
"559","558","TUBB4B","1","tubulin beta 4B class IVb",1
"560","559","CSTB","1","cystatin B",1
"561","560","MVP","1","major vault protein",1
"562","561","ANXA2P1","1","annexin A2 pseudogene 1",1
"563","562","LRP6","1","LDL receptor related protein 6",1
"564","563","TBL1Y","1","transducin beta like 1 Y-linked",1
"565","564","OAT","1","ornithine aminotransferase",2
"566","565","TOR4A","1","torsin family 4 member A",1
"567","566","LRRN2","1","leucine rich repeat neuronal 2",1
"568","567","MRPL11","1","mitochondrial ribosomal protein L11",1
"569","568","B3GAT1","1","beta-1,3-glucuronyltransferase 1",1
"570","569","SNTB1","1","syntrophin beta 1",1
"571","570","PURA","1","purine rich element binding protein A",1
"572","571","GCDH","1","glutaryl-CoA dehydrogenase",1
"573","572","SNAP25","1","synaptosome associated protein 25",1
"574","573","ST13","1","ST13 Hsp70 interacting protein",1
"575","574","THNSL1","1","threonine synthase like 1",1
"576","575","SLC12A2","1","solute carrier family 12 member 2",1
"577","576","CXCR4","1","C-X-C motif chemokine receptor 4",2
"578","577","GM2A","1","GM2 ganglioside activator",1
"579","578","PHACTR1","1","phosphatase and actin regulator 1",1
"580","579","CAT","1","catalase",1
"581","580","C1orf198","1","chromosome 1 open reading frame 198",1
"582","581","SLC6A13","1","solute carrier family 6 member 13",2
"583","582","GAS8","1","growth arrest specific 8",1
"584","583","DGAT2","1","diacylglycerol O-acyltransferase 2",1
"585","584","AKR1B10","1","aldo-keto reductase family 1 member B10",1
"586","585","CLMP","1","CXADR like membrane protein",1
"587","586","RITA1","1","RBPJ interacting and tubulin associated 1",1
"588","587","PRSS23","1","serine protease 23",1
"589","588","HLA-DMA","1","major histocompatibility complex, class II, DM alpha",1
"590","589","MACROH2A2","1","macroH2A.2 histone",1
"591","590","RTCB","1","RNA 2',3'-cyclic phosphate and 5'-OH ligase",1
"592","591","KRT18","1","keratin 18",1
"593","592","MCM6","1","minichromosome maintenance complex component 6",1
"594","593","MYO16","1","myosin XVI",1
"595","594","MRPS24","1","mitochondrial ribosomal protein S24",1
"596","595","ADORA2B","1","adenosine A2b receptor",1
"597","596","SLC30A10","1","solute carrier family 30 member 10",1
"598","597","PVALB","1","parvalbumin",1
"599","598","RCC2","1","regulator of chromosome condensation 2",1
"600","599","FANCD2","1","FA complementation group D2",1
"601","600","CDKN1A","1","cyclin dependent kinase inhibitor 1A",1
"602","601","AR","1","androgen receptor",1
"603","602","DMGDH","1","dimethylglycine dehydrogenase",1
"604","603","ENTPD8","1","ectonucleoside triphosphate diphosphohydrolase 8",2
"605","604","FSTL3","1","follistatin like 3",1
"606","605","CD59","1","CD59 molecule (CD59 blood group)",1
"607","606","HAX1","1","HCLS1 associated protein X-1",2
"608","607","HCLS1","1","hematopoietic cell-specific Lyn substrate 1",1
"609","608","PON2","1","paraoxonase 2",2
"610","609","THY1","1","Thy-1 cell surface antigen",1
"611","610","LINC00240","1","long intergenic non-protein coding RNA 240",2
"612","611","GOLGA2P5","1","GOLGA2 pseudogene 5",1
"613","612","PRM1","1","protamine 1",1
"614","613","ZFP64","1","ZFP64 zinc finger protein",1
"615","614","TRIAP1","1","TP53 regulated inhibitor of apoptosis 1",1
"616","615","SDHD","1","succinate dehydrogenase complex subunit D",1
"617","616","FLVCR2","1","feline leukemia virus subgroup C cellular receptor family member 2",1
"618","617","MPZL1","1","myelin protein zero like 1",2
"619","618","MAMDC4","1","MAM domain containing 4",1
"620","619","GRN","1","granulin precursor",1
"621","620","KCTD12","1","potassium channel tetramerization domain containing 12",1
"622","621","ALAD","1","aminolevulinate dehydratase",1
"623","622",NA,"1",NA,1
"624","623","DRAM1","1","DNA damage regulated autophagy modulator 1",1
"625","624",NA,"1",NA,1
"626","625","GLYCTK","1","glycerate kinase",1
"627","626","DNAJB5","1","DnaJ heat shock protein family (Hsp40) member B5",1
"628","627","RABEP2","1","rabaptin, RAB GTPase binding effector protein 2",1
"629","628","CCDC80","1","coiled-coil domain containing 80",1
"630","629","ELP2","1","elongator acetyltransferase complex subunit 2",1
"631","630","FPR3","1","formyl peptide receptor 3",1
"632","631","ATP6V0A1","1","ATPase H+ transporting V0 subunit a1",1
"633","632","PLXNA1","1","plexin A1",1
"634","633","SLC51B","1","solute carrier family 51 beta subunit",1
"635","634","RAB8B","1","RAB8B, member RAS oncogene family",1
"636","635","RBM3","1","RNA binding motif protein 3",1
"637","636","UBE2C","1","ubiquitin conjugating enzyme E2 C",1
"638","637","MMP7","1","matrix metallopeptidase 7",1
"639","638","PCYT1A","1","phosphate cytidylyltransferase 1, choline, alpha",1
"640","639","MMP15","1","matrix metallopeptidase 15",1
"641","640","hsa-miR-20b-5p","2",NA,94
"642","641","hsa-miR-505-3p","2",NA,94
"643","642","hsa-miR-34b-5p","2",NA,90
"644","643","hsa-miR-4739","2",NA,52
"645","644","hsa-miR-3679-5p","2",NA,98
"646","645","hsa-miR-155-5p","2",NA,61
"647","646","hsa-miR-4306","2",NA,108
"648","647","hsa-miR-378i","2",NA,74
"649","648","hsa-miR-192-5p","2",NA,204
"650","649","hsa-miR-5100","2",NA,22
"651","650","hsa-miR-455-3p","2",NA,43
"652","651","hsa-miR-101-3p","2",NA,45
"653","652","hsa-miR-126-5p","2",NA,58
"654","653","hsa-miR-16-5p","2",NA,76
"655","654","hsa-miR-193b-5p","2",NA,30
"656","655","hsa-miR-132-3p","2",NA,23
"657","656","hsa-miR-34a-5p","2",NA,18
"658","657","hsa-miR-19b-3p","2",NA,46
"659","658","hsa-miR-378a-3p","2",NA,27
"660","659","hsa-miR-146b-5p","2",NA,35
"661","660","hsa-miR-4516","2",NA,67
"662","661","hsa-miR-20a-5p","2",NA,31
"663","662","hsa-miR-30e-3p","2",NA,69
"664","663","hsa-miR-378d","2",NA,33
"665","664","hsa-miR-19a-3p","2",NA,38
"666","665","hsa-miR-17-5p","2",NA,33
"667","666","hsa-miR-92a-3p","2",NA,32
"668","667","hsa-miR-30e-5p","2",NA,38
"669","668","hsa-miR-4286","2",NA,45
"670","669","hsa-miR-17-3p","2",NA,27
"671","670","hsa-miR-148a-3p","2",NA,116
"672","671","hsa-miR-378a-5p","2",NA,28
"673","672","hsa-miR-455-5p","2",NA,36
"674","673","hsa-miR-211-3p","2",NA,20
"675","674","hsa-miR-15b-5p","2",NA,20
"676","675","hsa-miR-21-5p","2",NA,21
"677","676","hsa-miR-3907","2",NA,22
